EVENT_NUMBER	SIZE	DISTANCE	LENGTH	WIDTH	AZWIDTH	MISS	ALPHA
3733	455.097	327.78	39.851	37.212	108230.769	13.458	2.35
3734	895.944	92.252	47.496	33.246	9336.969	62.161	42.377
3735	815.724	97.107	53.527	32.84	10393.482	66.556	43.236
3736	741.976	96.68	50.172	34.912	10245.648	67.531	44.347
3737	1096.964	239.571	48.872	29.783	57889.168	230.894	74.579
3738	750.724	96.563	51.969	34.496	10275.868	65.768	42.922
3739	1826.595	30.978	79.653	44.092	2488.514	13.626	26.104
3740	758.537	96.099	52.318	33.728	10172.564	66.538	43.789
3741	747.617	94.121	51.272	34.198	9756.774	67.108	45.48
3742	731.424	92.221	52.452	34.019	9414.114	66.751	46.386
3743	798.488	94.99	50.435	35.59	9963.958	63.113	41.606
3744	914.032	91.559	49.181	31.821	9193.998	65.443	45.643
3745	627.292	181.385	50.76	35.827	33640.7	165.729	66.064
3746	1008.366	99.305	53.033	31.648	10785.586	69.14	44.107
3747	774.7	95.25	51.737	34.582	10009.004	65.831	43.709
3748	1425.217	108.002	94.777	39.773	13001.658	98.494	65.783
3749	764.538	92.984	51.812	35.626	9619.9	61.886	41.759
3750	760.054	95.512	51.819	34.033	10031.462	68.125	45.48
3751	501.939	327.131	39.738	35.842	107756.077	181.776	33.78
3752	897.653	91.706	47.344	32.627	9236.962	60.144	40.996
3753	455.626	329.917	38.202	37.218	109559.229	199.847	37.301
3754	887.267	91.773	46.387	33.394	9229.768	61.094	41.759
3755	769.021	93.279	52.111	34.589	9627.53	66.15	45.154
3756	612.121	168.299	52.681	34.138	29053.611	151.144	63.896
3757	728.587	94.355	52.214	34.536	9830.283	67.063	45.316
3758	772.542	94.362	52.029	33.989	9829.408	66.051	44.427
3759	795.672	92.912	50.181	35.701	9571.396	61.147	41.148
3760	869.425	92.63	48.517	31.564	9428.409	60.214	40.542
3761	772.33	95.592	51.137	34.475	10056.655	66.238	43.868
3762	778.233	95.511	51.861	34.809	10037.688	68.81	46.054
3763	800.855	92.947	49.396	37.048	9567.234	62.609	42.377
3764	762.204	95.047	51.721	33.899	9939.29	67.678	45.398
3765	896.09	91.584	48.698	31.716	9192.665	64.83	45.072
3766	758.943	92.825	51.776	35.012	9588.764	60.916	40.996
3767	1773.327	172.368	83.866	51.454	32752.163	65.804	22.458
3768	1646.123	166.421	85.929	52.575	30860.611	64.442	22.768
3769	757.715	144.112	53.082	34.546	22082.151	36.918	14.833
3770	770.174	91.945	51.332	34.563	9379.059	63.328	43.551
3771	756.008	94.095	50.768	36.684	9815.6	62.837	41.913
