channel	pmt	cluster	global_number	gain	k_adc	rel_sens	code_per_pe	x	y	cur_count_rate_channel	amplitude	ignore_status
21 2 6 62 0.981 5.527 1.288 2.841 -90.67 -290.65 10 0 0
22 9 6 258 0.817 1.243 1.079 10.524 -106.64 -212.9 11 0 0
23 9 6 258 0.817 5.741 1.079 2.278 -106.64 -212.9 11 0 0
24 7 6 202 0.82 1.11 1.13 11.819 -62.96 -279.17 12 0 0
25 7 6 202 0.82 5.986 1.13 2.192 -62.96 -279.17 12 0 0
26 14 6 398 1.045 1.187 1.036 14.077 -78.93 -201.42 13 0 0
27 14 6 398 1.045 5.951 1.036 2.809 -78.93 -201.42 13 0 0
28 6 6 174 0.867 1.191 1.089 11.644 -59.04 -249.43 14 0 0
29 6 6 174 0.867 5.36 1.089 2.588 -59.04 -249.43 14 0 0
30 13 6 370 1.081 1.221 0.986 14.164 -75.01 -171.68 15 0 0
31 13 6 370 1.081 5.269 0.986 3.284 -75.01 -171.68 15 0 0
32 24 6 678 1.371 1.181 0.849 18.577 -55.13 -219.68 16 0 0
33 24 6 678 1.371 4.869 0.849 4.505 -55.13 -219.68 16 0 0
34 17 6 482 1.219 1.216 0.994 16.04 -71.1 -141.93 17 0 0
35 17 6 482 1.219 6.588 0.994 2.961 -71.1 -141.93 17 0 0
36 25 6 706 1.003 1.207 1.051 13.293 -51.21 -189.94 18 0 0
37 25 6 706 1.003 6.61 1.051 2.428 -51.21 -189.94 18 0 0
38 18 6 510 0.878 1.351 1.379 10.4 -67.18 -112.19 19 0 0
39 18 6 510 0.878 7.311 1.379 1.922 -67.18 -112.19 19 0 0
40 26 6 734 1.158 1.215 1.014 15.237 -23.49 -178.46 20 0 0
41 26 6 734 1.158 7.358 1.014 2.517 -23.49 -178.46 20 0 0
42 19 6 538 0.892 1.252 1.098 11.399 -39.46 -100.71 21 0 0
43 19 6 538 0.892 6.223 1.098 2.294 -39.46 -100.71 21 0 0
44 27 6 762 1.055 1.22 0.879 13.832 0.31 -196.72 22 0 0
45 27 6 762 1.055 6.11 0.879 2.762 0.31 -196.72 22 0 0
46 20 6 566 0.991 1.273 1.17 12.461 -15.66 -118.97 23 0 0
47 20 6 566 0.991 6.132 1.17 2.586 -15.66 -118.97 23 0 0
48 28 6 790 1.02 1.188 0.897 13.74 -3.61 -226.47 24 0 0
49 28 6 790 1.02 6.918 0.897 2.359 -3.61 -226.47 24 0 0
50 21 6 594 0.889 1.22 0.96 11.653 -19.58 -148.72 25 0 0
51 21 6 594 0.889 6.218 0.96 2.287 -19.58 -148.72 25 0 0
52 23 6 650 0.977 1.118 0.953 13.98 -31.33 -237.95 26 0 0
53 23 6 650 0.977 5.135 0.953 3.045 -31.33 -237.95 26 0 0
54 16 6 454 0.962 1.243 1.091 12.388 -47.3 -160.2 27 0 0
55 16 6 454 0.962 5.606 1.091 2.746 -47.3 -160.2 27 0 0
56 22 6 622 1.093 1.215 0.983 14.394 -27.41 -208.2 28 0 0
57 22 6 622 1.093 5.169 0.983 3.383 -27.41 -208.2 28 0 0
58 15 6 426 1.19 1.229 1.139 15.485 -43.38 -130.45 29 0 0
59 15 6 426 1.19 5.453 1.139 3.491 -43.38 -130.45 29 0 0
4 1 7 35 0.812 1.153 1.024 11.266 -150.64 50.09 2 0 0
5 1 7 35 0.812 6.723 1.024 1.933 -150.64 50.09 2 0 0
6 8 7 231 0.962 1.182 0.902 13.03 -166.6 127.84 3 0 0
7 8 7 231 0.962 6.443 0.902 2.39 -166.6 127.84 3 0 0
8 5 7 147 0.925 1.189 0.984 12.441 -146.72 79.83 4 0 0
9 5 7 147 0.925 6.085 0.984 2.431 -146.72 79.83 4 0 0
10 12 7 343 1.325 1.477 1.075 14.347 -162.69 157.58 5 0 0
11 12 7 343 1.325 6.461 1.075 3.28 -162.69 157.58 5 0 0
12 4 7 119 0.818 1.168 1.393 11.204 -174.44 68.35 6 0 0
13 4 7 119 0.818 6.074 1.393 2.154 -174.44 68.35 6 0 0
14 11 7 315 0.914 1.199 0.952 12.202 -190.4 146.1 7 0 0
15 11 7 315 0.914 5.549 0.952 2.636 -190.4 146.1 7 0 0
16 3 7 91 1.126 1.175 0.877 15.34 -178.35 38.61 8 0 0
17 3 7 91 1.126 5.467 0.877 3.296 -178.35 38.61 8 0 0
18 10 7 287 1.002 1.235 1.064 12.978 -194.32 116.36 9 0 0
